_id, label, question
413, "어린이보험", "어린이보험 가입 후 환급금 절차는?"
414, "어린이보험", "어린이보험에서 형제자매가 가입할 경우 혜택은?"
415, "어린이보험", "어린이보험에서 가입자의 나이에 따른 보장 차이는?"
416, "어린이보험", "어린이보험의 혜택을 받으려면 어떤 조건을 충족해야 하나?"
417, "어린이보험", "어린이보험에서 형제자매 할인이 가능한가?"
418, "어린이보험", "어린이보험의 보험금 청구 시기는 언제인가?"
419, "어린이보험", "어린이보험에서 형제자매가 가입할 경우 보험료가 줄어드나?"
420, "어린이보험", "어린이보험에서 실손보험과 중복 가입이 가능한가?"
421, "어린이보험", "어린이보험에서 가입 시 주의해야 할 사항은?"
422, "어린이보험", "어린이보험에서 만성 질환자도 가입 가능한가?"
423, "어린이보험", "어린이보험의 갱신 주기는 얼마인가?"
424, "어린이보험", "어린이보험에서 자녀의 나이에 따른 보험료 변동은?"
425, "어린이보험", "어린이보험에서 입원비 보장은 어떻게 이루어지나?"
501, "기타문의", "수술 1·2·3·4·5종이 각각 어떻게 다른가?"
502, "기타문의", "소멸형과 환급형은 어떤 차이가 있나?"
503, "기타문의", "보험금 수령후 해약시 환급금 달라지나?"
504, "기타문의", "뇌출혈과 뇌경색은 어떻게 다르나?"
505, "기타문의", "보험금지급청구권의 소멸시효는?"
506, "기타문의", "보험계약자 피보험자 보험수익자란?"
507, "기타문의", "보험료 납입기간은 어느 정도가 적당한가?"
508, "기타문의", "전화로 보험가입시 자필서명이 면제되나?"
509, "기타문의", "청약철회 및 품질보증 제도란?"
510, "기타문의", "실효된 계약을 부활시키는데 왜 연체이자를 내야 하나?"
511, "기타문의", "가입한 대리점에서 보험금 청구를 해 줄 수 있나?"
512, "기타문의", "보험기간 vs 보험료 납입기간"
513, "기타문의", "최근에 가입한 계약을 취소하고 싶은데요"
514, "기타문의", "이사를 갔을 경우 주소 변경을 알려야 하나?"
515, "기타문의", "주의해야 할 보험판매자 특징은?"
516, "기타문의", "보험금 언제 청구하고 필요한 서류는 무엇인가?"
517, "기타문의", "2개월간 방문 수금을 하지 않아 실효되었는데요"
518, "기타문의", "가입금액을 줄였는데 차액이 환불되지 않는 이유는?"
519, "기타문의", "가입한 보험계약의 내용 변경 가능하나?"
520, "기타문의", "가입한 보험의 계약자 변경이 가능하나?"
521, "기타문의", "감액 또는 특약 해약 처리를 다시 취소 가능하나?"
522, "기타문의", "같은 날 수술을 여러 가지 한 경우에도 각각이 수술비가 지급되나?"
523, "기타문의", "갱신 관련 보험상품의 보험기간이 끝나면 어떻게 되나?"
524, "기타문의", "계약내용을 변경하고 싶은데요"
525, "기타문의", "계약사항 변경할 때의 제한사항은 어떻게 되나?"
526, "기타문의", "기일자 연장이 가능하나?"
527, "기타문의", "며칠 내 해지하면 원금을 다 찾을 수 있나?"
528, "기타문의", "배당과 무배당 상품의 차이점은?"
529, "기타문의", "보험가입금액을 변경할 수 있나?"
530, "기타문의", "보험기간 종료 후 만기보험금 수령 전 보험사고는 보상되나?"
531, "기타문의", "보험기간은 어느정도가 적당하나?"
532, "기타문의", "보험료 납입 못해 실효되었는데 부활 가능하나?"
533, "기타문의", "보험을 해약할 때 반드시 계약자 본인이 해야 하나?"
534, "기타문의", "보험회사가 파산했을 때 보호받을 수 있나?"
535, "기타문의", "부부형 계약에서 개인형으로 변경할 수 있나?"
536, "기타문의", "비교견적사이트에서 보험을 가입하는 것은 괜찮나?"
537, "기타문의", "산업재해공단과 중복보상받을 수 있나?"
538, "기타문의", "설계사 통장으로 보험료 납입은 괜찮나?"
539, "기타문의", "이혼한 경우 부부형 상품의 피보험자를 변경할 수 있나?"
540, "기타문의", "주소변경을 계약자가 통지해야 하나?"
541, "기타문의", "피보험자 변경 시 필요한 서류는?"
542, "기타문의", "해약환급금이 그동안 납입한 보험료보다 적은 이유는?"
543, "기타문의", "해외로 이민가는 경우에도 보장 받을 수 있나?"
544, "기타문의", "금융권에 연체자로 등록되어 있다면 보험금 압류 될 수 있나?"
545, "기타문의", "직업 변경을 이유로 부활 청약을 거절할 수 있나?"
546, "기타문의", "소액의 통원치료비를 청구하기 위해 필요한 서류는?"
547, "기타문의", "자동갱신특약시 보험료 저렴해지나?"
548, "기타문의", "0505 이런식으로 상품 뒤에 붙은 숫자는 무슨 의미인가?"
549, "기타문의", "가입된 보험 계약에 특약을 추가하고 싶은데요"
550, "기타문의", "가입한 보험을 해약하려고 히는데 해약절차가 어떻게 되나?"
